PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
Howie Kendrick,LAD,240,33,68,13,1,6,28,2,2,19,47,.283,.338,.421,.759,0.2
Daniel Murphy,NYM,198,16,56,14,0,4,29,1,2,15,16,.283,.335,.414,.749,0.2
Starling Marte,PIT,244,36,69,13,0,12,45,13,4,14,62,.283,.332,.484,.816,1.7
Marcell Ozuna,MIA,242,26,68,12,0,4,26,1,1,19,53,.281,.336,.380,.716,0.8
Juan Lagares,NYM,246,30,69,7,3,3,20,5,2,10,50,.280,.310,.370,.680,0.6
Josh Harrison,PIT,239,34,67,16,0,4,21,7,4,10,37,.280,.322,.397,.719,0.9
Jace Peterson,ATL,219,27,61,9,3,2,28,7,6,25,43,.279,.350,.374,.724,1.3
Nolan Arenado,COL,241,34,67,14,2,16,51,0,2,11,38,.278,.312,.552,.863,3.0
Adam Lind,MIL,216,24,60,14,0,9,33,0,0,24,48,.278,.349,.468,.816,1.1
Justin Upton,SD,245,41,68,7,1,13,41,13,0,29,71,.278,.357,.473,.831,2.2
Andre Ethier,LAD,184,28,51,6,4,9,27,1,1,21,30,.277,.356,.500,.856,1.1
Brandon Crawford,SF,231,32,64,14,2,9,40,3,2,18,51,.277,.345,.472,.817,2.9
Ben Revere,PHI,257,31,71,10,6,0,16,16,4,13,29,.276,.314,.362,.676,1.3
Lucas Duda,NYM,229,36,63,20,0,9,29,0,0,30,60,.275,.378,.480,.858,1.5
Jean Segura,MIL,200,24,55,6,3,3,17,8,1,6,33,.275,.306,.380,.686,0.3
Brandon Belt,SF,211,28,58,17,1,8,28,2,2,22,63,.275,.347,.479,.826,2.0
Martin Prado,MIA,254,24,69,11,1,4,24,0,0,12,33,.272,.311,.370,.681,0.7
Angel Pagan,SF,245,19,66,9,3,0,16,4,2,13,38,.269,.303,.331,.633,-0.1
Andrelton Simmons,ATL,247,39,66,13,2,3,27,1,1,17,18,.267,.327,.372,.700,2.1
Wilson Ramos,WSH,196,19,52,9,0,7,31,0,0,7,33,.265,.286,.418,.705,1.3
Charlie Blackmon,COL,245,36,65,9,2,8,22,15,5,19,52,.265,.338,.416,.755,1.1
Jorge Soler,CHC,189,20,50,12,1,4,19,0,1,15,67,.265,.322,.402,.724,0.2
Starlin Castro,CHC,254,23,67,5,1,5,32,4,3,11,46,.264,.299,.350,.649,-0.4
Freddy Galvis,PHI,220,24,58,4,1,2,16,5,0,12,36,.264,.308,.318,.626,0.4
Michael Cuddyer,NYM,228,29,60,11,1,6,27,0,0,16,57,.263,.314,.399,.713,0.8
Danny Espinosa,WSH,183,34,48,11,0,8,18,0,2,21,45,.262,.351,.454,.805,1.5
Giancarlo Stanton,MIA,249,43,65,12,1,24,62,4,2,32,86,.261,.346,.606,.953,3.3
Derek Norris,SD,238,34,62,18,1,7,39,1,0,16,56,.261,.310,.433,.743,1.9
Jason Heyward,STL,216,28,56,12,0,5,19,7,1,13,43,.259,.302,.384,.686,0.9
Zack Cozart,CIN,194,28,50,10,1,9,28,3,3,14,29,.258,.310,.459,.769,2.0
Ryan Braun,MIL,225,35,57,8,1,13,41,6,1,23,53,.253,.323,.471,.794,1.2
Joc Pederson,LAD,218,36,55,9,1,17,33,2,5,45,78,.252,.390,.537,.927,3.0
Neil Walker,PIT,230,25,58,16,0,4,23,2,0,14,50,.252,.308,.374,.682,0.3
Chris Coghlan,CHC,187,25,47,11,1,8,18,4,1,21,36,.251,.333,.449,.783,0.9
Odubel Herrera,PHI,208,19,52,14,2,2,17,7,2,9,57,.250,.283,.365,.648,-0.3
Matt Kemp,SD,264,34,65,13,2,3,34,7,0,13,66,.246,.287,.345,.632,-0.3
Wilmer Flores,NYM,220,29,54,9,0,10,32,0,0,8,29,.245,.279,.423,.702,0.5
Gregory Polanco,PIT,220,35,54,12,1,3,15,17,4,20,48,.245,.307,.350,.657,0.6
Yangervis Solarte,SD,200,16,49,13,0,2,26,1,0,15,25,.245,.301,.340,.641,0.3
Carlos Gonzalez,COL,218,28,53,10,0,9,24,2,0,22,47,.243,.309,.413,.721,0.2
Curtis Granderson,NYM,235,36,57,10,0,8,20,4,1,33,64,.243,.341,.387,.728,0.8
Dexter Fowler,CHC,246,44,59,9,4,7,18,11,4,29,61,.240,.323,.394,.717,0.9
Chris Owings,ARI,218,25,52,10,2,2,17,7,1,6,58,.239,.257,.330,.587,-0.4
Pedro Alvarez,PIT,188,27,44,10,0,10,28,0,0,22,50,.234,.311,.447,.758,-0.2
Will Middlebrooks,SD,206,21,48,6,1,9,27,2,1,10,50,.233,.264,.403,.667,-0.1
Jay Bruce,CIN,220,24,51,9,2,10,30,5,4,36,61,.232,.339,.427,.766,0.8
Ryan Howard,PHI,222,21,51,15,1,11,28,0,0,11,69,.230,.271,.455,.726,-0.3
Ian Desmond,WSH,259,29,59,17,0,5,18,1,2,13,78,.228,.273,.351,.624,-0.2
Billy Hamilton,CIN,222,31,49,3,3,3,18,31,5,14,39,.221,.265,.302,.567,0.5
Ryan Zimmerman,WSH,211,22,44,12,1,5,34,1,0,17,40,.209,.265,.346,.611,-0.8
Jimmy Rollins,LAD,232,29,46,8,1,7,18,6,5,20,43,.198,.261,.332,.593,-0.2
Chase Utley,PHI,206,18,38,7,1,4,25,3,0,21,30,.184,.263,.286,.549,-0.8
